bien_id,com_code,bien_type,bien_carrez_1,bien_surfbat,bien_numpieces
01350B147822,1350,Appartement,50.42,52,2
01103A30212,1103,Appartement,48.22,48,3
01143AK563146,1143,Appartement,130.8,130,6
01288C230711,1288,Maison,109.22,109,5
01033AE44031,1033,Appartement,108.65,91,4
01138AP35750,1138,Appartement,31.65,32,2
01354BH7911,1354,Appartement,52.58,52,2
01354AX8304,1354,Appartement,58.71,60,2
01143H44214,1143,Maison,93.23,96,4
01354AB38721,1354,Maison,117.0,117,5
01288F26054,1288,Appartement,35.6,36,2
01283AN149169,1283,Appartement,138.03,137,5
01357AB28811,1357,Appartement,42.0,43,2
01173AM11110,1173,Appartement,45.36,45,2
01033AI126213,1033,Appartement,82.6,84,4
01143AE5639,1143,Appartement,88.11,88,4
01004AO5393,1004,Appartement,164.87,143,6
01071AT26747,1071,Appartement,42.2,42,2
01396AD1514,1396,Appartement,68.11,65,3
01160AE511,1160,Appartement,82.59,75,3
01103B8899,1103,Appartement,30.23,30,1
01399AA3372,1399,Appartement,24.8,25,1
01202F40560,1202,Appartement,52.6,52,2
01204AI434,1204,Appartement,91.69,88,3
01173AC3461,1173,Appartement,45.54,45,1
01354BC10841,1354,Appartement,84.24,83,3
01004BP106418,1004,Appartement,68.23,68,3
01034BK72,1034,Appartement,62.03,64,3
01281AH574,1281,Maison,112.93,109,4
01354BD33812,1354,Appartement,131.91,133,4
01160AE3521129,1160,Appartement,63.58,63,3
01138AO29,1138,Appartement,35.86,50,3
01202F98046,1202,Appartement,70.09,74,3
01148AC542,1148,Appartement,200.0,121,4
01004BM705,1004,Appartement,54.84,62,2
01034AH17224,1034,Appartement,72.75,73,4
01202A15001,1202,Maison,94.09,88,2
01160AI495128,1160,Appartement,71.08,71,3
01160AD1541,1160,Maison,97.03,101,4
01313AY3754,1313,Appartement,44.48,45,2
01060AC36815,1060,Appartement,64.21,63,2
01004AP96362,1004,Maison,70.1,68,3
01363AB391,1363,Appartement,76.7,90,4
01160AD78402,1160,Appartement,133.77,120,4
01269AB84146,1269,Appartement,107.61,106,5
01345AD44158,1345,Appartement,42.78,43,2
01419BR14538,1419,Maison,124.55,120,5
01283AB59213,1283,Appartement,68.11,67,2
01031AP3171,1031,Appartement,70.78,68,3
01354AX158211,1354,Appartement,112.3,112,5
01313AP75941,1313,Maison,95.43,95,4
01160AE3521423,1160,Appartement,63.45,63,3
01185B105420,1185,Appartement,77.3,75,4
01173AP7306,1173,Maison,164.18,160,6
01160AD105148,1160,Appartement,66.95,67,3
01354AX1121,1354,Appartement,30.62,31,1
01354BD29719,1354,Appartement,165.92,166,5
01210D61967,1210,Appartement,51.99,56,2
01034A189514,1034,Appartement,63.17,63,3
01399AD42,1399,Appartement,84.97,88,3
01173AK16451,1173,Appartement,88.7,87,4
01004BD312101,1004,Appartement,50.64,51,2
01033AL35,1033,Appartement,38.0,39,1
01281AO29019,1281,Appartement,70.53,71,3
01071AB221,1071,Maison,105.68,143,6
01173AI2401,1173,Appartement,46.12,53,3
01202AC78219,1202,Appartement,37.63,39,2
01313BE13297,1313,Appartement,87.38,89,4
01173AM30140,1173,Appartement,50.33,50,2
01436B2393,1436,Appartement,134.17,136,4
01033AL611,1033,Appartement,47.65,62,3
01419BR1005,1419,Maison,99.13,102,4
01419BO52112,1419,Appartement,43.42,43,2
01192AI20012,1192,Maison,83.6,83,4
01004AO10465,1004,Appartement,54.65,55,2
