bien_id,mut_date,mut_numdisp,mut_type,mut_val
01350B147822,2020-02-03,1,Vente,56000.0
01103A30212,2020-01-02,1,Vente,165000.0
01143AK563146,2020-01-08,1,Vente,720000.0
01288C230711,2020-01-06,1,Vente,429250.0
01033AE44031,2020-01-07,1,Vente,220900.0
01138AP35750,2020-01-21,1,Vente,42000.0
01354BH7911,2020-01-07,1,Vente,262000.0
01354AX8304,2020-01-08,1,Vente,190000.0
01143H44214,2020-01-16,1,Vente,563130.0
01354AB38721,2020-01-17,1,Vente,535000.0
01288F26054,2020-01-16,1,Vente,330000.0
01283AN149169,2020-01-27,1,Vente,110600.0
01357AB28811,2020-01-30,1,Vente,50000.0
01173AM11110,2020-01-09,1,Vente,212000.0
01033AI126213,2020-01-15,1,Vente,160000.0
01143AE5639,2020-01-20,1,Vente,561550.0
01004AO5393,2020-01-28,1,Vente,358000.0
01071AT26747,2020-01-22,1,Vente,220000.0
01396AD1514,2020-01-27,1,Vente,79300.0
01160AE511,2020-01-06,1,Vente,285000.0
01103B8899,2020-01-27,1,Vente,123100.0
01399AA3372,2020-01-16,1,Vente,107500.0
01202F40560,2020-01-30,1,Vente,128810.0
01204AI434,2020-02-05,1,Vente,31000.0
01173AC3461,2020-01-21,1,Vente,125000.0
01354BC10841,2020-01-31,1,Vente,285000.0
01004BP106418,2020-02-03,1,Vente,140500.0
01034BK72,2020-01-27,1,Vente,101050.0
01281AH574,2020-01-31,1,Vente,530000.0
01354BD33812,2020-01-29,1,Vente,486415.0
01160AE3521129,2020-01-28,1,Vente,185000.0
01138AO29,2020-01-16,1,Vente,131376.0
01202F98046,2020-01-23,1,Vente,155000.0
01148AC542,2020-01-31,1,Vente,150000.0
01004BM705,2020-02-03,1,Vente,67000.0
01034AH17224,2020-01-13,1,Vente,114000.0
01202A15001,2020-02-07,1,Vente,143850.0
01160AI495128,2020-01-23,1,Vente,237900.0
01160AD1541,2020-01-24,1,Vente,425000.0
01313AY3754,2020-02-06,1,Vente,220000.0
01060AC36815,2020-02-07,1,Vente,55000.0
01004AP96362,2020-02-07,1,Vente,164665.0
01363AB391,2020-02-10,1,Vente,89000.0
01160AD78402,2020-02-06,1,Vente,475150.0
01269AB84146,2020-02-12,1,Vente,132500.0
01345AD44158,2020-02-05,1,Vente,68000.0
01419BR14538,2020-01-30,1,Vente,570840.0
01283AB59213,2020-02-03,1,Vente,135700.0
01031AP3171,2020-02-05,1,Vente,62500.0
01354AX158211,2020-02-03,1,Vente,332500.0
01313AP75941,2020-02-07,1,Vente,428000.0
01160AE3521423,2020-01-28,1,Vente,210000.0
01185B105420,2020-02-12,1,Vente,50000.0
01173AP7306,2020-01-28,1,Vente,592487.0
01160AD105148,2020-02-10,1,Vente,295000.0
01354AX1121,2020-02-12,1,Vente,133000.0
01354BD29719,2020-01-29,1,Vente,580450.0
01210D61967,2020-02-20,1,Vente,105500.0
01034A189514,2020-02-04,1,Vente,152900.0
01399AD42,2020-02-05,1,Vente,352300.0
01173AK16451,2020-02-17,1,Vente,215000.0
01004BD312101,2020-02-14,1,Vente,128460.0
01033AL35,2020-02-14,1,Vente,90500.0
01281AO29019,2020-02-11,1,Vente,305500.0
01071AB221,2020-02-18,1,Vente,430000.0
01173AI2401,2020-02-04,1,Vente,152470.0
01202AC78219,2020-02-13,1,Vente,55000.0
01313BE13297,2020-02-18,1,Vente,465660.47
01173AM30140,2020-02-12,1,Vente,167550.0
01436B2393,2020-02-11,1,Vente,212862.0
01033AL611,2020-02-19,1,Vente,54000.0
01419BR1005,2020-02-14,1,Vente,390000.0
01419BO52112,2020-02-24,1,Vente,160000.0
01192AI20012,2020-02-25,1,Vente,156580.0
01004AO10465,2020-02-18,1,Vente,129258.0
01004BR44326,2020-02-28,1,Vente,210000.0
01354AX1635,2020-02-17,1,Vente,189350.0
01160AM47020,2020-02-21,1,Vente,310000.0
01281AH541,2020-02-25,1,Vente,435000.0
01153AD1075,2020-02-20,1,Vente,505000.0
01103B135443,2020-02-25,1,Vente,442100.0
01313AP75924,2020-02-17,1,Vente,506000.0
01313AP75306,2020-02-12,1,Vente,292000.0
01419BO5245,2020-03-03,1,Vente,200000.0
01435AI16211,2020-02-27,1,Vente,315800.0
01033AL740141,2020-02-28,1,Vente,167000.0
01143AH197100,2020-02-25,1,Vente,640000.0
01004AO7391,2020-02-28,3,Vente,74000.0
01033AI46611,2020-03-04,1,Vente,232550.0
01033AI46621,2020-03-04,1,Vente,90000.0
01143AX22886,2020-03-09,1,Vente,282000.0
01173AH13124,2020-03-03,1,Vente,152000.0
01390B2513,2020-03-17,1,Vente,164000.0
01160AD9727,2020-03-05,1,Vente,389500.0
01034AS248122,2020-03-11,1,Vente,43000.0
01283AL7311,2020-02-28,1,Vente,139130.0
01160AK223109,2020-03-11,1,Vente,229100.0
01173AH13131,2020-03-10,1,Vente,222450.0
01004AW33310,2020-03-16,1,Vente,147500.0
01109F366,2020-03-10,1,Vente,440000.0
01153AS711,2020-03-02,1,Vente,495000.0
01281AE1121,2020-03-11,1,Vente,510000.0
01079B4601,2020-03-27,1,Vente,170000.0
01354AX7515,2020-03-03,1,Vente,251500.0
01199AH2114,2020-03-19,1,Vente,98000.0
01033AI46379,2020-03-25,1,Vente,132300.0
01240AB1882,2020-03-10,1,Vente,126000.0
01033AL74077,2020-03-16,1,Vente,131500.0
01419BV33102,2020-03-12,1,Vente,266960.0
01283AH59628,2020-03-31,1,Vente,114500.0
01033AD277216,2020-03-11,1,Vente,181970.0
01187F56317,2020-03-19,1,Vente,70000.0
01269AB52410,2020-04-01,1,Vente,45000.0
01313AN13944,2020-04-07,1,Vente,375000.0
01071AW8423,2020-03-18,1,Vente,247000.0
01283AE33613,2020-03-16,1,Vente,16300.0
01014AM2285,2020-03-16,1,Vente,60000.0
01033AC27258,2020-03-31,1,Vente,164000.0
01390B157722,2020-03-17,1,Vente,93585.0
01173AC723,2020-04-03,1,Vente,210000.0
